이름,레시피재료,레시피,종류,재료,방법,테마,기념일,도구
오트밀토마토리조또,"1/2하프케챂45g, 오뚜기 순후추약간, 오트밀60g, 다진 마늘1t, 오뚜기 압착 올리브유1T, 양파1/4개, 팽이버섯1/4개(40g), 방울 토마토3개, 물250ml, 닭가슴살80g, 오뚜기 순후추약간, 소금1/3t, 파슬리 찹약간","토마토케챂 대비 토마토 함량은 그대로 당분과 염분은 반으로 줄인 하프케챂으로 _x000D_ 칼로리는 가볍고 건강까지 생각한 오트밀 토마토 리조또를 즐겨보세요._x000D_

Step 1 닭가슴살은 작게 다이스해 소금, 후추로 간한다.

Step 2 양파는 작게 다이스하고 팽이버섯은 밑둥을 제거해 1cm 길이로 자른다. 방울토마토는 사등분한다.

Step 3 깊은 팬에 올리브유를 두르고 다진마늘을 볶다가 양파와 닭가슴살을 더해 볶는다.

Step 4 양파가 투명해지기 시작하면 1/2하프케챂과 오트밀, 물, 팽이버섯, 방울토마토를 더해 걸죽해질때까지 끓인다.

Step 5 그릇에 담고 파슬리 찹을 위에 뿌려 완성한다.",밥,닭고기,기타,"브런치, 파티, 다이어트요린이를 위하여",,후라이팬
순두부 카레,"오뚜기카레 약간 매운맛70g, 순두부200g, 감자1/2(90g), 당근 (90g), 양파1/4(50g), 다진 돼지고기150g, 애호박1/6(50g), 브로콜리4조각(40g), 우유400ml, 오뚜기 프레스코 카놀라유2T","Step 1 감자, 당근, 양파, 애호박, 브로콜리는 비슷한 크기로 깍둑 썰어 준비한다.

Step 2 후라이팬에 카놀라유를 두르고 당근, 감자, 다진 돼지고기를 볶는다.

Step 3 고기가 어느정도 익으면 양파를 더해 볶다가 우유를 부어 끓인다.

Step 4 카레분말을 풀은 후 순두부와 브로콜리를 더해 걸쭉하게 끓여 완성한다.",밥,기타,국탕찌개,브런치,카레데이,후라이팬
북어누룽지죽,"북어포 1개(60g), 오뚜기 옛날 구수한 누룽지 1봉 (60g), 다진마늘 1/2t, 오뚜기 멸치장국 1T, 오뚜기 순백 들기름 1T, 오뚜기 미향 1T, 소금 약간, 오뚜기 백후추 약간, 쪽파 ½줄기, 물 500ml","Step 1 북어포는 지느러미와 가시, 불순물을 제거해 한 입 크기로 자르고 쪽파를 송송 썬다.

Step 2 냄비에 들기름을 두르고 다진마늘을 볶다가 손질한 북어포와 미향을 더해 볶는다.

Step 3 누룽지와 물, 멸치장국, 소금, 백후추를 더해 10분간 끓인다.

Step 4 그릇에 담고 쪽파와 약간의 들기름을 더해 완성한다.",밥,,,"1인분, 해장, 키즈푸드, 부드러운 식감",,냄비
닭고기유자조림덮밥,"닭다리살 3덩어리(250g), 소금 1/2t, 후추 1/3t, 오뚜기 미향 1T, 맛있는 오뚜기밥 2개(420g), 양파 ½개, 실파 1줄기, 계란 2개, 오뚜기 고소한참기름 1T, 아임스틱 유자차 1T, 다진 마늘 1t, 이금기 팬더 양간장 5T, 오뚜기 미향 5T, 물 200ml","담백한 닭고기에 향긋한 유자향이 어우러지는 덮밥 요리입니다._x000D_ 모두 평소 쉽게 접하는 재료로 만들었지만 전문 식당 메뉴처럼 완성할 수 있어요._x000D_ 간단하지만 확실한 덮밥 메뉴, 나를 위한 한끼로 어떠세요?

Step 1 닭다리살을 한 입 크기로 자르고 소금과 후추, 미향으로 간한다.

Step 2 실파는 송송 썰고 양파는 채 썬다.

Step 3 후라이팬에 참기름을 두르고 닭고기를 중불에 볶다가 양파를 더해 볶는다.

Step 4 닭고기가 어느 정도 익으면 유자청, 간장, 미향, 다진 마늘을 물과 섞어 만든 양념을 넣어 3분간 끓인다.

Step 5 계란을 풀어 끓는 닭고기 소스에 부은 후 살짝 저어 익힌다.

Step 6 그릇에 밥을 담고 위에 닭고기와 소스를 얹은 뒤 깨와 실파를 뿌려 완성한다.",밥,닭고기,조림,"야식, 도시락, 1인분, 부드러운 식감",,후라이팬
양배추 된장 쌈밥,"오뮤 곤라이스 버섯된장 130g1개, 양배추5장","양배추만 있으면 쌈밥이 뚝딱!_x000D_ 간단한 식사 또는 도시락 메뉴로 추천합니다. 집에 있는 멸치볶음이나 장조림을 곁들여도 좋아요. 곤라이스와 함께 맛있고 간편한 한끼 챙기세요.

Step 1 오뮤 곤라이스 버섯된장을 전자레인지에 1분 30초 데운 뒤 식혀둔다.

Step 2 양배추 겉잎을 벗겨낸 뒤 그릇에 담아 소량의 물과 함께 전자레인지(700w) 5분간 가열해 익힌다.Tip. 양배추 1/4개 기준, 10분간 가열하여 익혀주세요.

Step 3 찐 양배추를 길쭉하게 자른 뒤 심지는 저며내 제거한다.

Step 4 양배추에 오뮤 곤라이스 버섯된장을 넣고 말아준다.","밥, 기타",,"찜, 기타","스피드, 브런치, 도시락, 1인분, 채식, 셰프의 팁! 간편식 업그레이드, 간단 꿀조합",,"전자레인지, 기타"
단호박 렌틸카레라이스,"단호박1통, 오뚜기밥1개, 오뚜기 3분 렌틸카레1개","달콤하게 쪄낸 단호박 안에 몸에 좋은 렌틸카레가 가득가득~_x000D_ 선선한 가을바람이 불어오는 환절기에 간단 영양식으로도 좋아요._x000D_ 어른도 아이들도 모두 좋아하는 맛이랍니다!

Step 1 단호박을 깨끗이 씻어 윗부분을 잘라내고 씨를 제거한다.

Step 2 찜기에 물을 넣고 물이 끓으면 단호박 껍질 부분을 위쪽으로 올려 약 10~15분간 쪄준다.

Step 3 다 쪄진 단호박 윗부분을 가로, 세로 약 2cm정도 정사각 크기로 잘라서 준비한다.

Step 4 부드럽게 쪄진 단호박 안에 오뚜기밥과 단호박, 그리고 3분 렌틸카레를 부어준다.

Step 5 전자레인지에 약 2분정도 돌리면 단호박요리 렌틸카레라이스 완성!",밥,"채소, 기타","찜, 기타","스피드, 파티, 부드러운 식감, 셰프의 팁! 간편식 업그레이드, 간단 꿀조합",카레데이,"전자레인지, 냄비"
인도식 버터치킨카레,"오리지널카레파우더10g, 물100g, 오뚜기토마토스파게티소스200g, 닭다리살200g, 오메가3 버터20g, 방울 토마토 40g, 우유 60g, 양파 100g, 식용유 10g, 크러쉬드페퍼2g, 소금약간","한국인 입맛에 딱! 버터치킨카레를 소개합니다._x000D_ 이국적인 향과 함께 부드럽고 달콤한 맛으로 누구나 맛있게 먹을 수 있는 인기 메뉴입니다._x000D_ 카레파우더로 쉽게 완성하는 인도의 맛에 도전해 보세요!

Step 1 양파 2mm, 닭다리살은 3cm, 방울토마토 1/4컷 해준다.(닭다리살은 소금으로 밑간을 해줍니다.)

Step 2 예열된 팬에 식용유와 닭다리살을 넣고 노릇하게 구워준다.

Step 3 2. 에 버터, 양파, 크러쉬드 페퍼를 넣고 볶아준다.

Step 4 양파가 투명해질 때 방울토마토를 넣고 한번 더 볶아준다.

Step 5 4. 에 토마토 스파게티소스, 물, 우유, 카레파우더를 넣고 한번 더 끓여주면 완성.","밥, 반찬",닭고기,볶음,"파티, 부드러운 식감",카레데이,후라이팬
들깨소고기미역죽,"오뚜기 요즘미역 4.5G2봉(9g), 오뚜기 옛날 볶음 참깨1/2T, 다진 소고기 100g, 맛있는 오뚜기밥 210g1개, 다진 마늘2t, 오뚜기 고소한 참기름 2T, 들깨가루3T, 오뚜기 쇠고기장국 3T, 소금1t, 물800ml","볶아 나온 요즘 미역은 불릴 필요 없이 편리하게 이용할 수 있어요! 부드러운 잎만 사용한 미역으로 아이 간식에도 좋아요._x000D_ 간편하게 맛있게 다양한 요리에 활용해보세요.

Step 1 냄비에 참기름을 두르고 소고기, 다진 마늘을 볶는다.

Step 2 고기에 색이 나면 요즘미역을 넣고 물을 부어 끓인 후 전자레인지 조리한 오뚜기밥을 넣고 중불에 15분간 끓인다.

Step 3 쇠고기장국, 들깨 가루, 소금을 더하고 약불에 살짝 끓여준 뒤 그릇에 담아 깨를 뿌려 완성한다.",밥,"쇠고기, 해물",기타,"도시락, 키즈푸드, 부드러운 식감, 셰프의 팁! 간편식 업그레이드",생일,냄비
카레 토마토솥밥,"불린 쌀2컵, 물2컵, 오뚜기카레 약간 매운맛2T, 토마토1개, 당근40g, 브로콜리40g, 표고버섯2개, 소금약간, 설탕약간, 프레스코 올리브유약간","간단하지만 제대로 된 한끼를 챙기고 싶을 때 솥밥을 추천드립니다._x000D_ 일반 냄비로도 충분히 맛있는 솥밥을 완성할 수 있어요!_x000D_ 노란색 카레와 빨간색 토마토 그리고 각종 채소가 어우러져 보는 맛도 제대로랍니다._x000D_ 올리브 오일도 꼭 챙겨주세요 강력 추천 조합입니다!_x000D_

Step 1 쌀은 15분정도 불려서 준비해주세요.

Step 2 토마토는 열 십자로 칼집을 내주고 당근, 브로콜리, 버섯은 먹기 좋은 크기로 준비해주세요.

Step 3 불린 쌀 2컵에 물 2컵을 넣고 준비해준 야채와 토마토를 올려주세요.

Step 4 마지막으로 오뚜기 카레 분말을 2T를 넣어 잘 섞어주세요.

Step 5 솥의 뚜껑을 닫아주고 끓으면 5분, 약불에 8분을 끓이다가 잔열에 5분간 뜸을 들여주세요. Tip. 타지 않게 불 조절을 잘 해주는 것이 포인트입니다.

Step 6 그릇에 덜어내고 올리브오일을 살짝 뿌리면 완성입니다. Tip. 올리브오일을 곁들이면 풍미가 더욱 살고 맛있습니다.",밥,채소,"찜, 기타","캠핑, 파티, 1인분, 채식",카레데이,"냄비, 기타"
 반반 카레,"오뚜기 3일숙성카레3조각, 양파2/3개, 쇠고기100g, 생크림 1/2컵, 토마토퓨레1컵, 오뚜기밥210g2개, 방울토마토3개,  대파5cm, 당근⅓개, 껍질콩4개, 페퍼론치노4개, 쪽파 또는 파슬리약간","고소한 풍미의 크림카레와 새콤한 맛의 토마토카레를 한번에 즐길 수 있는 메뉴에요._x000D_ 카레를 좋아하는 사람이라면 그냥 지나칠 수 없지요! 눈으로 한번 맛으로 또 한번 즐겨보세요!_x000D_

Step 1 양파와 당근은 한입 크기로 썰고, 대파는 송송 썰고, 껍질콩은 양끝을 잘라내고, 방울토마토는 1/2등분하여 준비한다.

Step 2 팬에 식용유를 두른 뒤 쇠고기 > 당근 > 양파 순서로 넣고 중간 불에서 볶다가 쇠고기가 익고 양파가 투명해지면 전체 재료의 반을 건져낸다.

Step 3 남은 1/2분량의 재료에 물 1과 1/2컵을 붓고 끓기 시작하면 오뚜기 3일 숙성카레 1과 1/2조각을 넣고 저어가며 끓이다가 걸쭉해지면 생크림을 넣고 한 번 더 끓여 크림카레를 완성한다.

Step 4 덜어둔 재료를 다른 팬에 넣고 물 1과 1/2컵을 부어 끓어오르면 오뚜기 3일 숙성카레 1과 1/2조각을 넣고 저어가며 끓인다.

Step 5 바글바글 끓으면 토마토소스와 대파, 껍질콩, 방울토마토, 페페론치노를 넣고 한 번 더 끓여 토마토카레를 만든다.

Step 6 그릇 중앙에 밥을 담은 뒤 두 가지 카레를 나눠 부어 완성한다.",밥,"쇠고기, 채소, 유제품","볶음, 기타",파티,카레데이,"후라이팬, 냄비"
치즈 닭갈비 볶음밥,"오뚜기밥 210g1개, 닭볶음탕 양념5T, 참기름1T, 닭다리 살80g, 양파 100g, 양배추 50g, 깻잎2장, 피자 치즈30g, 김가루적당량, 식용유적당량, 소금적당량, 후추적당량","닭갈비 먹고 볶음밥은 꼭 챙겨야 하는 후식이죠?_x000D_ 닭갈비와 볶음밥을 한번에 즐길 수 있는 특급 인기 메뉴를 소개합니다._x000D_

Step 1 양파, 양배추, 깻잎을 적당한 크기로 잘라준다.

Step 2 닭다리 살은 한 입 크기로 잘라준다

Step 3 팬에 기름을 두르고 닭다리 살을 볶으며 후추와 소금으로 밑간을 해준다.

Step 4 닭고기의 표면이 노릇하게 익으면 손질한 채소들을 넣어 함께 익혀준다.

Step 5 고기와 채소들이 어느 정도 익으면 밥을 넣고 닭볶음탕 양념을 넣어준다.

Step 6 참기름과 김 가루를 뿌려준 후 불 향이 나도록 센 불에서 볶아준다.

Step 7 잘 볶아진 볶음밥을 팬에 꾹꾹 눌러준다.

Step 8 피자치즈를 뿌려 치즈가 녹을 때까지 4~5분간 뚜껑을 덮어 익혀주면 완성.",밥,닭고기,볶음,"캠핑, 도시락",,후라이팬
드라이 카레 볶음밥,"카레파우더2g, 소금약간, 가쓰오부시장국15g, 햄40g, 식용유10g, 양파40g, 당근10g, 오뚜기밥210g, 청피망15g, 홍피망10g","이번 주말에는 간편하면서도 이국적인 카레 볶음밥 어떠세요?_x000D_ 강한 향신료 맛을 원한다면 카레파우더를 더 추가해도 좋습니다._x000D_ 오리지널 카레파우더에는 소금이 들어가지 않아 부담 없이 사용하실 수 있어요._x000D_

Step 1 햄은 1cm, 야채들은 0.5 cm 크기로 잘라준다

Step 2 프라이팬에 식용유를 넣고 예열 시킨 후 햄 > 야채 > 밥 순으로 넣고 볶아준다.

Step 3 재료들과 밥을 잘 섞은 후, 가쓰오국수장국과 카레파우더를 넣고 2분 정도 더 볶아 완성한다.",밥,"채소, 기타",볶음,"스피드, 1인분, 간단 꿀조합",카레데이,후라이팬
드라이카레,"오뚜기 카레 약간 매운맛1/2T, 오뚜기 프레스코 카놀라유2T, 돼지고기 민스150g, 페퍼론치노2개, 대파1/4개, 맛있는 오뚜기밥210g 1개, 마늘3개, 풋고추1개, 양파1/3개, 통후추가루1/4t, 오뚜기 미향1T, 이금기프리미엄굴소스1t, 피쉬소스1t, 이금기 팬더 양조간장1t, 설탕1t, 오뚜기 맛있는계란1개","Step 1 굴소스, 피시소스, 양조간장, 설탕에 물 2큰술을 넣고 소스를 만들어 준비한다.

Step 2 양파는 다지고, 풋고추와 대파 흰대는 송송 썰고, 페퍼론치노는 잘게 다지고 마늘은 편 썰어 준비한다.

Step 3 후라이팬에 카놀라유를 두르고 손질해 준비한 마늘과 고추를 볶다가,

Step 4 돼지고기 민스를 대파와 함께 볶은 후 미향을 넣는다.

Step 5 오뚜기 카레 약간 매운맛과 다진 양파, 후추, 준비한 소스를 넣고 볶는다.

Step 6 맛있는 오뚜기밥과 드라이카레를 접시에 담고 계란 후라이를 해 올려 완성한다.","밥, 반찬",돼지고기,볶음,1인분,,"후라이팬, 냄비"
닭가슴살 짜장김밥,"가뿐한끼 현미밥1개(150g), 가뿐한끼 짜장1개(130g), 오뚜기 프레스코 카놀라유1T, 닭가슴살 1/2개70g, 오뚜기 고소한 참기름1t, 오뚜기 맛있는 계란2알, 김밥용 단무지1줄, 김밥용 김1장","가볍지만 완벽한 한 끼 닭가슴살 짜장김밥 레시피를 소개해드릴게요. _x000D_ 가뿐한끼 현미밥과 짜장, 닭가슴살을 사용하여 부담을 확 줄였어요_x000D_ 오늘 색다른 김밥 한 줄 어떠세요?

Step 1 끓는 물에 약간의 소금을 넣어 닭가슴살을 7분간 데친 후 길게 찢는다.

Step 2 후라이팬에 카놀라유를 두르고 소금을 넣고 풀은 계란을 부어 지단을 만든다.

Step 3 가뿐한끼 짜장과 가뿐한끼 현미밥을 참기름과 섞은 뒤 살짝 식힌다. (짜장은 끓는 물에 5분 중탕, 현미밥은 전자레인지에 2분간 데워서 준비한다.)

Step 4 김밥용 김에 짜장밥-지단-단무지와 닭가슴살을 넣어 말고 먹기 좋게 썰어 완성한다.",밥,닭고기,기타,"캠핑, 도시락, 파티, 1인분, 키즈셰프, 키즈푸드",생일,"후라이팬, 냄비, 기타"
봄 된장 비빔밥,"오뚜기밥 210g1개, 오뚜기 향긋한 들기름2T, 표고버섯2개, 오뚜기 바로무쳐먹는 된장무침양념1/2봉(45g), 돌나물1/2줌(70g), 깨소금1꼬집, 만가닥버섯1줌(60g), 계란1개","구수한 된장에 각종 채소와 들기름을 더해 고소한 맛의 오뚜기 된장 양념을 소개해드립니다._x000D_ 취향에 맞는 제철 나물과 된장무침양념으로 싱그러운 식탁을 간편하게 완성해보세요

Step 1 표고버섯은 얇게 썰고, 만가닥버섯은 낱낱이 가른다.

Step 2 돌나물은 흐르는 물에 헹궈 체에 밭쳐 물기를 제거한다.

Step 3 중간불로 달군 팬에 들기름을 두른 뒤 손질한 버섯을 넣어 노릇하게 볶는다.

Step 4 불을 끈 뒤 잔열로 오뚜기 된장무침양념과 깨소금을 넣어 함께 익힌다.

Step 5 그릇에 밥을 담은 뒤 돌나물을 얹고 버섯된장볶음과 계란프라이를 곁들여 마무리한다.",밥,채소,볶음,,,후라이팬
